Country,Year,Arabica Production,Domestic_Consumption,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,Total Distribution,Total Supply
Albania,2023,0,60,0,60,0,0,0,0,0,60,60
Algeria,2023,0,1950,0,1950,0,0,0,0,0,1950,1950
Angola,2023,0,10,15,0,0,25,0,0,25,25,25
Argentina,2023,0,1040,0,1040,0,0,0,40,0,1040,1040
Armenia,2023,0,250,0,250,0,0,0,0,0,250,250
Australia,2023,0,2250,0,2250,0,0,0,200,0,2250,2250
Benin,2023,0,0,0,0,0,0,0,0,0,0,0
Bolivia,2023,95,55,40,0,0,95,0,0,0,95,95
Bosnia and Herzegovina,2023,0,290,0,290,0,0,0,0,0,290,290
Brazil,2023,44900,22560,43850,75,0,66300,50,75,21400,70995,70995
Burundi,2023,215,15,200,0,0,215,0,0,0,215,215
Cameroon,2023,25,80,200,0,0,285,0,0,260,305,305
Canada,2023,0,5400,0,5400,0,0,0,500,0,5400,5400
Central African Republic,2023,0,0,0,0,0,0,0,0,0,0,0
Chile,2023,0,225,0,225,0,0,0,0,0,225,225
China,2023,1700,5000,1175,4150,0,1700,25,350,0,6682,6682
Colombia,2023,11500,2230,12000,2505,0,11500,200,5,0,14850,14850
Congo (Brazzaville),2023,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),2023,75,125,150,0,0,275,0,0,200,275,275
Costa Rica,2023,1440,395,1210,170,0,1440,10,15,0,2091,2091
Cote d'Ivoire,2023,0,50,1300,0,0,1350,0,0,1350,1355,1355
Croatia,2023,0,0,0,0,0,0,0,0,0,0,0
Cuba,2023,100,80,20,0,0,100,0,0,0,100,100
Dominican Republic,2023,125,110,15,0,0,125,0,0,0,125,125
Ecuador,2023,120,343,451,426,0,370,1,1,250,894,894
Egypt,2023,0,300,0,300,0,0,0,0,0,300,300
El Salvador,2023,670,290,610,230,0,670,0,15,0,910,910
Equatorial Guinea,2023,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,2023,8350,3500,4820,0,0,8350,0,0,0,8400,8400
European Union,2023,0,43125,4100,47000,0,0,2500,0,0,56313,56313
Gabon,2023,0,0,0,0,0,0,0,0,0,0,0
Georgia,2023,0,90,0,90,0,0,0,0,0,90,90
Ghana,2023,0,0,0,0,0,0,0,0,0,0,0
Guatemala,2023,3305,625,3169,360,0,3435,4,5,130,3807,3807
Guinea,2023,0,15,185,0,0,200,0,0,200,205,205
Guyana,2023,0,0,0,0,0,0,0,0,0,0,0
Haiti,2023,0,0,0,0,0,0,0,0,0,0,0
Honduras,2023,6500,385,6200,25,0,6500,0,0,0,6637,6637
India,2023,1420,1270,6336,1550,0,5950,6,20,4530,7679,7679
Indonesia,2023,1300,4790,6050,1720,0,9700,50,20,8400,12111,12111
Iran,2023,0,800,0,800,0,0,0,0,0,800,800
Jamaica,2023,15,5,10,0,0,15,0,0,0,15,15
Japan,2023,0,7317,0,6800,0,0,0,100,0,9317,9317
Jordan,2023,0,650,0,650,0,0,0,0,0,650,650
Kazakhstan,2023,0,350,0,350,0,0,0,0,0,350,350
Kenya,2023,800,55,760,18,0,800,0,0,0,882,882
"Korea, South",2023,0,3200,0,3200,0,0,0,400,0,3200,3200
Kosovo,2023,0,50,0,50,0,0,0,0,0,50,50
Laos,2023,0,80,370,0,0,450,0,0,450,450,450
Liberia,2023,0,0,0,0,0,0,0,0,0,0,0
Madagascar,2023,25,290,10,0,0,300,0,0,275,300,300
Malawi,2023,10,1,9,0,0,10,0,0,0,10,10
Malaysia,2023,0,650,2300,1450,0,1500,0,0,1500,2950,2950
Mexico,2023,3545,2985,3025,1900,0,4090,125,50,545,6086,6086
Montenegro,2023,0,35,0,35,0,0,0,0,0,35,35
Morocco,2023,0,930,0,930,0,0,0,55,0,930,930
New Caledonia,2023,0,0,0,0,0,0,0,0,0,0,0
New Zealand,2023,0,560,0,560,0,0,0,35,0,560,560
Nicaragua,2023,2500,155,2580,25,0,2660,5,0,160,2812,2812
Nigeria,2023,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,2023,0,85,0,85,0,0,0,0,0,85,85
Norway,2023,0,790,0,790,0,0,0,140,0,790,790
Panama,2023,75,124,36,85,0,75,35,0,0,160,160
Papua New Guinea,2023,850,50,850,0,0,900,0,0,50,935,935
Paraguay,2023,0,0,0,0,0,0,0,0,0,0,0
Peru,2023,4200,230,4060,90,0,4200,0,0,0,4380,4380
Philippines,2023,25,6950,0,6300,0,450,0,0,425,7250,7250
Russia,2023,0,4250,0,4250,0,0,0,350,0,4250,4250
Rwanda,2023,250,0,250,0,0,250,0,0,0,250,250
Saudi Arabia,2023,0,1000,0,1000,0,0,0,0,0,1000,1000
Senegal,2023,0,50,0,50,0,0,0,0,0,50,50
Serbia,2023,0,715,0,715,0,0,0,0,0,715,715
Sierra Leone,2023,0,10,50,0,0,60,0,0,60,60,60
Singapore,2023,0,100,0,100,0,0,0,0,0,100,100
South Africa,2023,0,750,0,750,0,0,0,0,0,750,750
Sri Lanka,2023,0,0,0,0,0,0,0,0,0,0,0
Switzerland,2023,0,1650,1850,3500,0,0,1850,0,0,3500,3500
Taiwan,2023,0,700,0,700,0,0,0,100,0,700,700
Tanzania,2023,750,77,1270,6,0,1350,0,0,600,1763,1763
Thailand,2023,0,680,1100,1030,0,750,0,30,750,1780,1780
Togo,2023,0,0,80,0,0,80,0,0,80,80,80
Trinidad and Tobago,2023,0,0,0,0,0,0,0,0,0,0,0
Turkey,2023,0,1530,0,1530,0,0,0,130,0,1530,1530
Uganda,2023,1000,325,6515,0,0,6850,0,0,5850,7319,7319
Ukraine,2023,0,1000,0,1000,0,0,0,400,0,1000,1000
United Kingdom,2023,0,4200,0,4200,0,0,0,700,0,4200,4200
United States,2023,50,25475,0,25425,0,50,0,625,0,31175,31175
Uruguay,2023,0,40,0,40,0,0,0,0,0,40,40
Venezuela,2023,500,498,5,2,0,500,0,1,0,513,513
Vietnam,2023,880,3200,25000,720,0,27500,350,200,26620,28559,28559
Yemen,2023,0,0,0,0,0,0,0,0,0,0,0
Yemen (Sanaa),2023,0,0,0,0,0,0,0,0,0,0,0
Zambia,2023,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,2023,0,0,0,0,0,0,0,0,0,0,0
